DATE,UNRATE,CPIAUCSL,GDP
1970-08-01,5.1,39.0,7159.388886363636
1970-09-01,5.4,39.2,7159.388886363636
1970-10-01,5.5,39.4,1088.608
1970-11-01,5.9,39.6,7159.388886363636
1970-12-01,6.1,39.8,7159.388886363636
1971-01-01,5.9,39.9,1135.156
1971-02-01,5.9,39.9,7159.388886363636
1971-03-01,6.0,40.0,7159.388886363636
1971-04-01,5.9,40.1,1156.271
1971-05-01,5.9,40.3,7159.388886363636
1971-06-01,5.9,40.5,7159.388886363636
1971-07-01,6.0,40.6,1177.675
1971-08-01,6.1,40.7,7159.388886363636
1971-09-01,6.0,40.8,7159.388886363636
1971-10-01,5.8,40.9,1190.297
1971-11-01,6.0,41.0,7159.388886363636
1971-12-01,6.0,41.1,7159.388886363636
1972-01-01,5.8,41.2,1230.609
1972-02-01,5.7,41.4,7159.388886363636
1972-03-01,5.8,41.4,7159.388886363636
1972-04-01,5.7,41.5,1266.369
1972-05-01,5.7,41.6,7159.388886363636
1972-06-01,5.7,41.7,7159.388886363636
1972-07-01,5.6,41.8,1290.566
1972-08-01,5.6,41.9,7159.388886363636
1972-09-01,5.5,42.1,7159.388886363636
1972-10-01,5.6,42.2,1328.904
1972-11-01,5.3,42.4,7159.388886363636
1972-12-01,5.2,42.5,7159.388886363636
1973-01-01,4.9,42.7,1377.49
1973-02-01,5.0,43.0,7159.388886363636
1973-03-01,4.9,43.4,7159.388886363636
1973-04-01,5.0,43.7,1413.887
1973-05-01,4.9,43.9,7159.388886363636
1973-06-01,4.9,44.2,7159.388886363636
1973-07-01,4.8,44.2,1433.838
1973-08-01,4.8,45.0,7159.388886363636
1973-09-01,4.8,45.2,7159.388886363636
1973-10-01,4.6,45.6,1476.289
1973-11-01,4.8,45.9,7159.388886363636
1973-12-01,4.9,46.3,7159.388886363636
1974-01-01,5.1,46.8,1491.209
1974-02-01,5.2,47.3,7159.388886363636
1974-03-01,5.1,47.8,7159.388886363636
1974-04-01,5.1,48.1,1530.056
1974-05-01,5.1,48.6,7159.388886363636
1974-06-01,5.4,49.0,7159.388886363636
1974-07-01,5.5,49.3,1560.026
1974-08-01,5.5,49.9,7159.388886363636
1974-09-01,5.9,50.6,7159.388886363636
1974-10-01,6.0,51.0,1599.679
1974-11-01,6.6,51.5,7159.388886363636
1974-12-01,7.2,51.9,7159.388886363636
1975-01-01,8.1,52.3,1616.116
1975-02-01,8.1,52.6,7159.388886363636
1975-03-01,8.6,52.8,7159.388886363636
1975-04-01,8.8,53.0,1651.853
1975-05-01,9.0,53.1,7159.388886363636
1975-06-01,8.8,53.5,7159.388886363636
1975-07-01,8.6,54.0,1709.82
1975-08-01,8.4,54.2,7159.388886363636
1975-09-01,8.4,54.6,7159.388886363636
1975-10-01,8.4,54.9,1761.831
1975-11-01,8.3,55.3,7159.388886363636
1975-12-01,8.2,55.6,7159.388886363636
1976-01-01,7.9,55.8,1820.487
1976-02-01,7.7,55.9,7159.388886363636
1976-03-01,7.6,56.0,7159.388886363636
1976-04-01,7.7,56.1,1852.332
1976-05-01,7.4,56.4,7159.388886363636
1976-06-01,7.6,56.7,7159.388886363636
1976-07-01,7.8,57.0,1886.558
1976-08-01,7.8,57.3,7159.388886363636
1976-09-01,7.6,57.6,7159.388886363636
1976-10-01,7.7,57.9,1934.273
1976-11-01,7.8,58.1,7159.388886363636
1976-12-01,7.8,58.4,7159.388886363636
1977-01-01,7.5,58.7,1988.648
1977-02-01,7.6,59.3,7159.388886363636
1977-03-01,7.4,59.6,7159.388886363636
1977-04-01,7.2,60.0,2055.909
1977-05-01,7.0,60.2,7159.388886363636
1977-06-01,7.2,60.5,7159.388886363636
1977-07-01,6.9,60.8,2118.473
1977-08-01,7.0,61.1,7159.388886363636
1977-09-01,6.8,61.3,7159.388886363636
1977-10-01,6.8,61.6,2164.27
1977-11-01,6.8,62.0,7159.388886363636
1977-12-01,6.4,62.3,7159.388886363636
1978-01-01,6.4,62.7,2202.76
1978-02-01,6.3,63.0,7159.388886363636
1978-03-01,6.3,63.4,7159.388886363636
1978-04-01,6.1,63.9,2331.633
1978-05-01,6.0,64.5,7159.388886363636
1978-06-01,5.9,65.0,7159.388886363636
1978-07-01,6.2,65.5,2395.053
1978-08-01,5.9,65.9,7159.388886363636
1978-09-01,6.0,66.5,7159.388886363636
1978-10-01,5.8,67.1,2476.949
1978-11-01,5.9,67.5,7159.388886363636
1978-12-01,6.0,67.9,7159.388886363636
1979-01-01,5.9,68.5,2526.61
1979-02-01,5.9,69.2,7159.388886363636
1979-03-01,5.8,69.9,7159.388886363636
1979-04-01,5.8,70.6,2591.247
1979-05-01,5.6,71.4,7159.388886363636
1979-06-01,5.7,72.2,7159.388886363636
1979-07-01,5.7,73.0,2667.565
1979-08-01,6.0,73.7,7159.388886363636
1979-09-01,5.9,74.4,7159.388886363636
1979-10-01,6.0,75.2,2723.883
1979-11-01,5.9,76.0,7159.388886363636
1979-12-01,6.0,76.9,7159.388886363636
1980-01-01,6.3,78.0,2789.842
1980-02-01,6.3,79.0,7159.388886363636
1980-03-01,6.3,80.1,7159.388886363636
1980-04-01,6.9,80.9,2797.352
1980-05-01,7.5,81.7,7159.388886363636
1980-06-01,7.6,82.5,7159.388886363636
1980-07-01,7.8,82.6,2856.483
1980-08-01,7.7,83.2,7159.388886363636
1980-09-01,7.5,83.9,7159.388886363636
1980-10-01,7.5,84.7,2985.557
1980-11-01,7.5,85.6,7159.388886363636
1980-12-01,7.2,86.4,7159.388886363636
1981-01-01,7.5,87.2,3124.206
1981-02-01,7.4,88.0,7159.388886363636
1981-03-01,7.4,88.6,7159.388886363636
1981-04-01,7.2,89.1,3162.532
1981-05-01,7.5,89.7,7159.388886363636
1981-06-01,7.5,90.5,7159.388886363636
1981-07-01,7.2,91.5,3260.609
